Reference, Value, Footprint, Datasheet, manf#, Digikey, Field10, Field11, Field4, Field5, Field6, Field7, Field8, Field9
"HB45","mtg_hole_3mm_small","ClockIOT_libs:MountingHole_3.2mm_M3","","Value","","","","","","","","",""
"HB46","mtg_hole_3mm_small","ClockIOT_libs:MountingHole_3.2mm_M3","","Value","","","","","","","","",""
"HB47","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB48","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB49","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB50","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"J1","CLK_IN","ClockIOT_libs:1pin","~"
"J2","DAT_IN","ClockIOT_libs:1pin","~"
"J7","5V","ClockIOT_libs:1pin","~"
"J8","GND","ClockIOT_libs:1pin","~"
"J9","CLK_IN","ClockIOT_libs:1pin","~"
"J10","DAT_IN","ClockIOT_libs:1pin","~"
"J15","5V","ClockIOT_libs:1pin","~"
"J16","GND","ClockIOT_libs:1pin","~"
"HB51","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB52","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB53","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB54","mtg_hole_3mm","ClockIOT_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"BITE1","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE2","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE5","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE6","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE7","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE8","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE3","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE4","Mouse_Bite","ClockIOT_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"R8","4K7","ClockIOT_libs:r_0805","~"
"R6","10k","ClockIOT_libs:r_0805","~"
"R7","10k","ClockIOT_libs:r_0805","~"
"U130","DS3231N","ClockIOT_libs:DS3231","~"
"R9","4K7","ClockIOT_libs:r_0805","~"
"BT1","Batt_RTC","ClockIOT_libs:CR2032_SMD2","","","BU2032SM-HD-GCT-ND ","","","","","","","",""
"C22","100nF","ClockIOT_libs:c_0805",""
"TP1","~RST","ClockIOT_libs:BreakOutPad","~"
"TP2","SQR","ClockIOT_libs:BreakOutPad","~"
"TP3","32kHz","ClockIOT_libs:BreakOutPad","~"
"R4","1k","ClockIOT_libs:r_0805",""
"U131","1117-33","ClockIOT_libs:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf","mfr_pn","","","","","","","","",""
"JP1","LED_PWR_EN","ClockIOT_libs:R_0402",""
"C17","10uF/25V","ClockIOT_libs:c_2917",""
"C18","22uF/25V","ClockIOT_libs:c_2917",""
"D2","LED_PWR","ClockIOT_libs:LED-0805","","","","754-1264-ND","http://www.digikey.com/product-detail/en/WP7113ID/754-1264-ND/1747663","LED SS 5MM 625NM RED DIFF","2V, 10mA","Round with Domed Top, 5mm, T-1 3/4","Kingbright Corp","WP7113ID","Digikey"
"U132","CP2102N-A01-GQFN28","ClockIOT_libs:QFN-28-1EP_5x5mm_Pitch0.5mm","http://www.silabs.com/support%20documents/technicaldocs/cp2102n-datasheet.pdf","Value","","","","","","","","",""
"P1","USB_micro","ClockIOT_libs:USB_Micro-B_Molex-105017-0001",""
"C23","10uF/25V","ClockIOT_libs:c_2917",""
"C24","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"C25","10uF/25V","ClockIOT_libs:c_2917",""
"C26","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"R22","470R","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"R21","0R","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"R23","0R","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"R20","0R NC","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"R19","0R NC","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"R3","10k","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"C19","1nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"R16","470R","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"C20","1nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"S3","SW-EN","ClockIOT_libs:SW_SMD","","Value","","","","","","","","",""
"R18","470R","ClockIOT_libs:r_0805","","Value","","","","","","","","",""
"C21","1nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"S4","SW-BOOT","ClockIOT_libs:SW_SMD","","Value","","","","","","","","",""
"Q1","DDC114TU","ClockIOT_libs:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/ds30345.pdf"
"G9","OSHW","ClockIOT_libs:OSHW_6mm","","mfr_pn","","","","","","","","",""
"G8","KiCad","ClockIOT_libs:KiCad-Logo2_6mm_SilkScreen","","mfr_pn","","","","","","","","",""
"G7","LOGO_WL","ClockIOT_libs:Logo-WL3","","mfr_pn","","","","","","","","",""
"D1","RClamp0854P.TCT","ClockIOT_libs:SOT-143",""
"L1","330E","ClockIOT_libs:r_0805",""
"L2","330E","ClockIOT_libs:r_0805",""
